Beer,Origin,Style,ABV,Ratings
Lonerider Sweet Josie,NC,Brown Ale,6.1%,3.180
Iron City Amber,PA,Vienna / Amber Lager,-,3.180
John Harvards Pumpkin Ale,MA,Spiced Beer,-,3.180
Mt. Shasta Abner Weed Amber Ale,CA,Amber Ale,5.5%,3.180
Blue Star Pale Ale,TX,American Pale Ale,-,3.180
Karl Strauss Windansea Wheat Hefeweizen,CA,Hefeweizen,5.1%,3.180
Devils Backbone The Congo Pale Ale,VA,Belgian Ale,6.8%,3.180
Stone City Hefeweizen,IA,Hefeweizen,-,3.180
Titletown Isle B Bock,WI,Bock,-,3.180
Rahr & Sons La Grange,TX,Saison,-,3.180
Amerisports Hard Ball Dark,MO,Dunkel / Dark Lager,-,3.180
Wasatch Superior Ale,UT,Amber Ale,-,3.180
Independence American Amber,PA,Amber Ale,5%,3.180
Bitter End Schwartz,TX,Schwarzbier,-,3.180
Great Basin Smoke Creek Rauchbier,NV,Rauchbier,5.1%,3.180
Morgan Street Golden Pilsner,MO,Bohemian / Czech Pilsener,-,3.180
Summit Unchained 02 90 Shilling Scottish Style Ale,MN,Scottish Ale,7%,3.180
Bristol Venetucci Pumpkin Ale,CO,Spiced Beer,5.67%,3.180
Squatters Capt. Bastard's Oatmeal Stout,UT,Oatmeal Stout,4%,3.180
Legend Hefe Weizen,VA,Hefeweizen,5.1%,3.180
Beermanns Tri-IPA,CA,Imperial IPA,8.8%,3.180
Gordon Biersch Dunkelweizen,NV,Dunkel Weizen,-,3.180
Ramstein Munich Amber,NJ,Vienna / Amber Lager,5.5%,3.180
Titletown Meditator,WI,Belgian Strong Ale,7%,3.180
Bayhawk CPA (California Pale Ale),CA,American Pale Ale,5.4%,3.180
Evolution Craft Brewing Lucky 7 Porter,MD,Porter,5.7%,3.180
Milwaukee Ale House Ulao Ale,WI,Belgian Ale,5%,3.180
Coronado Brewing Stupid Stout,CA,Stout,6%,3.180
Thirsty Dog Raspberry Ale,OH,Fruit Beer,3.9%,3.180
Knee Deep In Surf,CA,Fruit Beer,-,3.180
Newport Storm Alyssa (Cyclone Series),RI,Strong Ale,7.9%,3.180
Russian River Golden Ale,CA,Mild Ale,5.06%,3.180
Cabezon Stout,NM,Stout,-,3.180
Church Brew Thunderhop Double IPA,PA,Imperial IPA,8%,3.180
Sierra Blanca Imperial Stout,NM,Imperial Stout,8.5%,3.180
Goose Island Marisol,IL,Belgian Ale,6.1%,3.180
Olde Towne Pilsner,AL,Bohemian / Czech Pilsener,-,3.180
McMenamins Firefly Kolsch,OR,Kölsch,4.64%,3.180
FiftyFifty Landslide Double IPA,CA,Imperial IPA,9%,3.180
10 Barrel Go Go Boots,OR,Wild Ale,-,3.180
Bitter End Tres Diablos,TX,Belgian Strong Ale,10%,3.180
Crabtree Twisted Creek Wheat,CO,Hefeweizen,5%,3.180
Samuel Adams American Rye Ale,MA,Rye Beer,-,3.180
Frankenmuth Oktoberfest,MI,Marzen / Oktoberfest,-,3.180
Old Market Imperial Hop On,OR,Amber Ale,7.94%,3.180
Black Star Co-op Pub & Brewery High Esteem,TX,American Pale Ale,5%,3.180
Walnut Buffalo Gold,CO,Blonde Ale,5%,3.180
Oregon Trail Wit,OR,Witbier,4.2%,3.180
Hydro Street Campfire Porter,WI,Porter,6.5%,3.180
Vintage McLuvin,WI,Irish Ale,4.75%,3.180
Titletown 26.2 Brew,WI,Cream Ale,-,3.180
Millstream 20th Anniversary Dopplebock,IA,Doppelbock,6.2%,3.180
AeppelTreow Barn Swallow Cider,WI,Cider,5.8%,3.180
DuClaw Snake Oil,MD,Imperial Pilsener,6.2%,3.180
Ale Asylum Happy Ending,WI,Belgian Ale,-,3.180
Laurelwood Organic Portland Roast Espresso Stout,OR,Coffee Stout,6.3%,3.180
Butt Monkey Chimp Chiller Ale,PA,Pale Lager,-,3.180
Rust Belt Blast Furnace Blonde Ale,OH,Blonde Ale,-,3.180
The Bruery Provisions Series: Run B.M.C,CA,Strong Lager,7%,3.180
J.T. Whitneys India Pale Ale,WI,IPA,-,3.180
LogJam Nut Brown Ale,WI,Brown Ale,-,3.180
Rubicon Winter Wheat Wine,CA,Wheatwine,10%,3.180
English Ales Pale Ale,CA,English Pale Ale,6%,3.180
O'so Belgian Dark,WI,Belgian Strong Ale,9%,3.180
Terrapin Side Project Volume 6: 90 Shelling Scotch Ale,GA,Scottish Ale,7.3%,3.180
Titletown Picnic Table Beer,WI,Belgian Ale,-,3.180
Stewarts Gudneitzenbock,DE,Weizenbock,8.1%,3.180
BJ's Nit Wit,CA,Witbier,4.7%,3.180
Big River Black Cherry Porter,TN,Porter,-,3.180
Jester King Barrel Aged Sour Commercial Suicide,TX,Wild Ale,3.2%,3.180
East End Toaster Imperial Stout,PA,Imperial Stout,10%,3.180
Upslope Christmas Ale,CO,Spiced Beer,8.2%,3.180
Pike Harlot's Harvest Pumpkin Ale,WA,Spiced Beer,8.5%,3.180
Hopworks Floggin Noggin Barleywine,OR,American Barleywine,11%,3.180
Tap Room No. 21 Wheat Beer,CA,American Wheat,4.5%,3.180
Crown Valley Gunslinger Double IPA,MO,Imperial IPA,8.3%,3.180
Two Beers Persnickety Pale,WA,American Pale Ale,5.7%,3.180
Occidental Altbier,OR,Altbier,-,3.180
Erie Brewing Johnny Rails Pumpkin Ale,PA,Spiced Beer,6.5%,3.180
Odell Runoff Red IPA,CO,IPA,6.5%,3.180
Hop Valley Alphadelic IPA,OR,IPA,6.5%,3.180
Revolution Eugene Porter,IL,Porter,6.8%,3.180
Alaskan Pumpkin Porter (Pilot Series),AK,Spiced Beer,7%,3.180
Pyramid Oatmeal Stout,WA,Oatmeal Stout,7%,3.180
Wingman P-51 Porter,WA,Imperial Porter,8%,3.180
Mother's Mr. Pumpkin,MO,Spiced Beer,5%,3.180
Two Beers Forester Double IPA,WA,Imperial IPA,8.8%,3.180
Full Sail LTD 06,OR,Bock,7%,3.180
Lompoc C-Son's Greetings,OR,Imperial IPA,8%,3.180
Abita Jockamo IPA,LA,IPA,6.5%,3.179
Mendocino Bock Beer,CA,Bock,7%,3.179
Upland Wheat Ale,IN,Witbier,4.9%,3.178
R. J. Rockers Bell Ringer Ale,SC,Strong Ale,8.5%,3.178
Woodchuck Raspberry Draft Cider,VT,Cider,4%,3.178
Cisco Indie Pale Ale,MA,IPA,-,3.178
Cape Ann Fishermans IPA,MA,IPA,5.5%,3.178
Atwater Cherry Stout,MI,Fruit Stout,6.5%,3.178
Tommyknocker Butt Head Bock,CO,Doppelbock,8.2%,3.177
Rahr & Sons Rahrs Red,TX,Vienna / Amber Lager,4.7%,3.177
Brooklyn Pilsner,NY,Bohemian / Czech Pilsener,5.1%,3.176
Magic Hat Hocus Pocus,VT,American Wheat,5%,3.175
River Horse Hop Hazard Pale Ale,NJ,American Pale Ale,5.5%,3.175
OFallon Wheach,MO,Fruit Beer,-,3.175
Full Sail LTD 03,OR,Bohemian / Czech Pilsener,5.6%,3.175
Sly Fox Black Raspberry Reserve,PA,Fruit Beer,8%,3.175
Red Brick Numbers Ale,GA,Cream Ale,-,3.175
Old Dominion Summer Wheat (Krystal Weizen),DE,Krystal Weizen,5.4%,3.175
Capital Brown Ale,WI,Brown Ale,-,3.175
Michelob Rye PA,MO,IPA,5.9%,3.175
JosephsBrau Dunkelweizen,NV,Dunkel / Dark Lager,5.2%,3.175
Boulevard Pilsner,MO,Bohemian / Czech Pilsener,-,3.175
Crow Peak 11th Hour IPA,SD,IPA,6%,3.175
Belt Harvest Moon Pigs Ass Porter,MT,Porter,5%,3.175
Bitter Root Porter,MT,Porter,-,3.175
Two Brothers Oh Brother! Tripel Ale,IL,Abbey Tripel,8.5%,3.175
Hinterland Amber Ale,WI,Amber Ale,-,3.175
Endurance Pale Ale (Tom Crean),MA,American Pale Ale,-,3.175
Upland Ard Ri Imperial Red Ale,IN,Strong Ale,9%,3.175
Ithaca Cold Front,NY,Belgian Ale,7.2%,3.175
Iron Hill Scottish Ale,DE,Scottish Ale,-,3.175
Diamond Knot Possesion Porter,WA,Porter,5.6%,3.175
Cigar City/Mikkeller Dirac,FL,Imperial Stout,10%,3.175
Hurricane Projected Path Amber,AL,Amber Ale,-,3.175
South Shore Belgian Tripel,WI,Abbey Tripel,9%,3.175
Iron Hill Hopzilla,DE,IPA,-,3.175
White Pine Barrel Aged Imperial Stout,NV,Imperial Stout,8.2%,3.175
Thirsty Dog Orthus Belgian Dubbel,OH,Abbey Dubbel,7%,3.175
Southampton Abbey Dubbel,NY,Abbey Dubbel,7.4%,3.175
Karl Strauss Parrot in a Palm Tree,CA,Baltic Porter,8.5%,3.175
Upland Bourbon Barrel Warmer,IN,English Barleywine,8.5%,3.175
Wrecking Bar Belgina WIT,GA,Witbier,4.2%,3.175
Tin Roof Perfect Tin Amber Ale,LA,Amber Ale,4.5%,3.175
Destihl Bourbon Barrel Oatmeal Espresso Stout,IL,Coffee Stout,6%,3.175
Heretic Tafelbully,CA,Belgian Ale,-,3.175
Craftsman Fireworks Saison,CA,Saison,7.3%,3.175
5 Seasons Humdinger Hefeweizen,GA,Hefeweizen,4.5%,3.175
Lompoc Franc'ly Brewdolph,OR,Belgian Strong Ale,7.6%,3.175
512 Pecan Porter with Cocoa and Cerise,TX,Porter,6.8%,3.175
Vertigo Friar Mike's IPA,OR,IPA,6.1%,3.175
Rocky River Oompa Loompa,OH,Chocolate Stout,4.7%,3.175
Power Plant Blackberry Wheat Ale,MO,Fruit Beer,-,3.175
Newport Storm Elle (Cyclone Series),RI,Abbey Dubbel,8.7%,3.175
Flying Dog Imperial IPA - Centennial Single Hop,MD,Imperial IPA,10%,3.175
Willoughby Petty Wench,OH,Bitter,4.55%,3.175
Silver City Indianola IPA,WA,IPA,6.9%,3.175
Cedar Oatmeal Stout,IA,Oatmeal Stout,-,3.175
Helmar Big League Brew,MI,English Pale Ale,4.4%,3.175
Draught House Ambrosia Double Amber,TX,Strong Ale,8.2%,3.175
Rocky Mountain IPA,CO,IPA,-,3.175
Shed Brewery Silent Illumination,VT,Saison,8%,3.175
Due South Southern Saison,FL,Saison,5.6%,3.175
Moccasin Bend Super Hop Soup,TN,IPA,-,3.175
Portsmouth Belgian Triple,NH,Abbey Tripel,9%,3.175
Thunder Canyon Catalina Pale Ale,AZ,American Pale Ale,-,3.175
Bullfrog Hefeweizen,PA,Hefeweizen,5.6%,3.175
Ringneck Oktoberfest (MÄRZEN),OH,Marzen / Oktoberfest,5%,3.175
Drake's Port Barrel Imperial Stout Blueberry,CA,Imperial Stout,11.5%,3.175
Dogfish Head Beanie Bock,DE,Weizenbock,9%,3.175
General Lafayette All Fuggled Up,PA,Amber Ale,5.7%,3.175
Big Bear Mountain Lil Beaver IPA,CA,IPA,8.6%,3.175
East End Pink Clouds Porter,PA,Porter,5.8%,3.175
Cathedral Square Hail Mary Belgian IPA,MO,IPA,-,3.175
Portsmouth Abbey Style Dubbel Ale,NH,Abbey Dubbel,-,3.175
Delafield Batch 500 ESB,WI,Extra Special Bitter,5.5%,3.175
SKA SkaWork Orange Cream Stout,CO,Milk Stout,-,3.175
7venth Sun Saison In Paradise,FL,Saison,-,3.175
Woodruff Porter,TN,Porter,4.5%,3.175
Shed Brewery Biere de Miel,VT,Saison,8%,3.175
Stewarts American Amber Ale,DE,Amber Ale,5.8%,3.175
Uncle Billys 2nd Anniversary Ale (Boozer Chavez),TX,Belgian Strong Ale,9.9%,3.175
Copper Creek Keller Beer,GA,Kellerbier,-,3.175
Stewarts Obscurum,DE,Belgian Strong Ale,8.8%,3.175
Great Basin Fat Monk Belgian Trippel,NV,Abbey Tripel,8.6%,3.175
Charleston Pale Ale,NC,American Pale Ale,5.7%,3.175
Rust Belt Peacemaker Imperial IPA,OH,Imperial IPA,-,3.175
Cigar City Jai Alai IPA - Peach,FL,IPA,7.5%,3.175
Schooner's Irish Red Ale,CA,Irish Ale,5%,3.175
Cricket Hill Fall Festivus Ale,NJ,Extra Special Bitter,4.8%,3.175
DeGroens Weizenbock,DE,Weizenbock,6.9%,3.175
East End Monkey Boy,PA,Hefeweizen,3.9%,3.175
Kuhnhenn Dark Heathen Braggot,MI,Mead,16%,3.175
Socorro Springs Pick Axe IPA,NM,IPA,6.5%,3.175
Docs Draft Hard Apple Cider,NY,Cider,5%,3.175
Kelley Brothers Oatmeal Stout,CA,Oatmeal Stout,-,3.175
Elevator Three Frogs IPA,OH,IPA,-,3.175
Cigar City Humidor Series - Gruit,FL,Spiced Beer,5.5%,3.175
Dunedin Razzbeery Wheat Ale,FL,Fruit Beer,6%,3.175
Stone Double Bastard Ale with Chipotle,CA,Strong Ale,10%,3.175
Celis Dubbel Ale,TX,Abbey Dubbel,-,3.175
Power House Jack The Bum Pale Ale,IN,American Pale Ale,5.8%,3.175
Opa-Opa A10 Warthog Double IPA,MA,Imperial IPA,10%,3.175
Telegraph Gypsy Ale,CA,Wild Ale,8%,3.175
Lumberyard Imperial Red,AZ,Strong Ale,9.5%,3.175
Barleys Pale Ale,OH,American Pale Ale,-,3.175
Blackfoot River Tartanic Strong Scottish Ale,MT,Scottish Ale,7.75%,3.175
Titletown Slam Dunkel,WI,Dunkel Weizen,-,3.175
Tugboat Coffee Porter,OR,Porter,-,3.175
New Amsterdam India Pale Ale,NY,IPA,-,3.175
Freetail Prickly Realtail,TX,Spiced Beer,-,3.175
Barley John's Wild Brunette,MN,Belgian Ale,7.5%,3.175
Sebago Bourbon Barrel Aged Lake Trout Stout,ME,Stout,5.8%,3.175
Rockyard Rock Weisser,CO,Berliner Weisse,3%,3.175
Saint Arnold Altared Amber,TX,Belgian Ale,-,3.175
75th Street ESB,MO,Extra Special Bitter,-,3.175
Independence Seeing (Eye)PA,TX,IPA,-,3.175
Hub City Paradise Ale,IA,IPA,-,3.175
New Belgium Ooh La La,CO,Fruit Beer,8.5%,3.175
Vermont Pub Smoked Porter,VT,Smoked Ale,-,3.175
Caldera Cauldron Brew 07 Dry-Hopped Strong Ale,OR,Strong Ale,6.7%,3.175
Southampton Porter,NY,Porter,5.5%,3.175
San Diego Hopnotic IPA,CA,Imperial IPA,7.5%,3.175
Great Lakes Berlot,OH,Strong Ale,10.6%,3.175
McMenamins Oktoberfest,OR,Marzen / Oktoberfest,4.7%,3.175
Azalea Coast East Coast India Pale Ale,NC,IPA,7.25%,3.175
Mueller Maibock,MO,Bock,-,3.175
Robert Thomas Four Seasons Amber Ale,MI,Amber Ale,-,3.175
Manchester The Devils Rooster,NH,Marzen / Oktoberfest,-,3.175
Buffalo Bill's Reserve Barleywine,CA,American Barleywine,10%,3.175
Great Basin Jackson Greens Russian Imperial Stout,NV,Imperial Stout,8.8%,3.175
Bullfrog 90-Shilling Scottish Ale,PA,Scottish Ale,5.4%,3.175
CooperSmiths Existential Porter,CO,Porter,6.2%,3.175
Chophouse Double Red,OH,Strong Ale,7.2%,3.175
Hangar 24 Rye Black IPA,CA,American Black Ale,6.9%,3.175
Opa-Opa Southampton Porter,MA,Porter,-,3.175
Calfkiller Oktober Surprize,TN,Marzen / Oktoberfest,6%,3.175
Darkside Fermentation Sirus Dubbel,TX,Belgian Strong Ale,9%,3.175
Calfkiller Scorned Hooker,TN,Amber Ale,-,3.175
Natty Greene's Slam Dunkelweizen,NC,Dunkel Weizen,-,3.175
Flying Fish Cherry Porter,NJ,Fruit Beer,-,3.175
Fat Heads Voodoo Monkey Chocolate Stout,OH,Chocolate Stout,6.5%,3.175
Haines Captain Cooks Spruce Bud Ale,AK,Spiced Beer,-,3.175
McMenamins ESB,OR,Extra Special Bitter,5%,3.175
Silver Gulch Bird Creek Old 55,AK,American Pale Ale,-,3.175
Orlando Brewing Olde Pelican Ale,FL,English Pale Ale,6.46%,3.175
Silver Peak Peavine Porter,NV,Porter,5.5%,3.175
Mooses Tooth Dark Star Lager,AK,Schwarzbier,4.3%,3.175
Portsmouth Smoked Dunkelweizen,NH,Dunkel Weizen,-,3.175
Port Washington Triple H,WI,Hefeweizen,-,3.175
Full Sail White Knuckle Wit,OR,Witbier,5%,3.175
Oggi's Cabor Toss,CA,Scottish Ale,9.6%,3.175
Brugge Tripel de Ripple,IN,Abbey Tripel,9.85%,3.175
Golden Valley Red Hills Pilsner,OR,Bohemian / Czech Pilsener,4.9%,3.175
Widmer Brothers Halo,OR,Imperial IPA,9.7%,3.175
Lompoc India Pale Ale,OR,IPA,6%,3.175
Wrecking Bar Das Hopfen German IPA,GA,IPA,6.8%,3.175
Ross Valley IPA,CA,IPA,6.1%,3.175
Thirsty Bear Sour Stave,CA,Wild Ale,6.5%,3.175
Trap Rock Kestrels 7.5 IPA,NJ,IPA,7.5%,3.175
J.T. Whitneys Smokehouse Porter,WI,Smoked Ale,-,3.175
Wrecking Bar Wheelie Popper Summer Kolsch,GA,Kölsch,5%,3.175
Portsmouth Belgian White Ale,NH,Witbier,5%,3.175
Silver Peak Big Daddy Hooch,NV,Doppelbock,10.5%,3.175
Stone Old Guardian Belgo Barley Wine (Red Wine Barrel),CA,American Barleywine,11.5%,3.175
Portsmouth Thaizenheimer,NH,Spiced Beer,4.5%,3.175
McMenamins Pullman Porter,OR,Porter,5.8%,3.175
McKenzie Belgian Wit,PA,Witbier,4.6%,3.175
Vintage Pint-o'-joe Coffee Porter,WI,Porter,-,3.175
Old Dominion ESB,DE,Extra Special Bitter,-,3.175
Brau Brothers Rye Wyne Ale 2011,MN,American Barleywine,11%,3.175
Bullfrog El Diablo Deluxe,PA,Wild Ale,7.4%,3.175
Pisgah Baptista,NC,Belgian Strong Ale,-,3.175
Three Floyds Calumet Queen,IN,Kölsch,5%,3.175
Great Crescent Bourbon Barrel Stout,IN,Stout,8%,3.175
McKenzie Chocolate Cherry Stout,PA,Fruit Stout,7%,3.175
Silver Peak Jubilee Celebration Bock,NV,Bock,6.5%,3.175
Freetail Figgy Puddin,TX,Belgian Strong Ale,7.3%,3.175
Downtown Brewing Co. Hemp Ale,CA,Spiced Beer,-,3.175
Boulder Creek Dizzy Lizzy Barleywine,CA,English Barleywine,10.6%,3.175
Nodding Head California Common,PA,California Common / Steam,-,3.175
Valley Brew Santas Christmas Morning Breakfast Stout,CA,Stout,-,3.175
Freetail Solera Fin,TX,Wild Ale,-,3.175
Cornerstone Coffee Porter,OH,Porter,-,3.175
Shed Brewery Triple,VT,Abbey Tripel,9%,3.175
Sierra Nevada Brown Saison,CA,Saison,7.85%,3.175
Haymarket Angry Birds Belgian Rye IPA,IL,Rye Beer,7.5%,3.175
Tbonz Raspberry Wheat Ale,SC,Fruit Beer,4%,3.175
Redhook Single Barb IPA,WA,Imperial IPA,8%,3.175
Hoppin' Frog Barrel Aged Frosted Frog Christmas Ale,OH,Spiced Beer,8.6%,3.175
North By Northwest Py Jingo Pale Ale,TX,American Pale Ale,-,3.175
Pizza Port Lucidity Belgian Golden Ale,CA,Belgian Ale,6.5%,3.175
Crabtree Braggot,CO,Imperial Stout,7.85%,3.175
DC Brau El Hefe Speaks!,DC,Hefeweizen,5.3%,3.175
Triumph Als New Years Ale,NJ,Spiced Beer,6.7%,3.175
Marthas Exchange Another Ale,NH,American Pale Ale,4.8%,3.175
Upland Persimmon Lambic,IN,Fruit Lambic,-,3.175
JailHouse Conjugal Visit,GA,Amber Ale,6%,3.175
Schooner's Kilt Kicker Scotch Ale,CA,Scottish Ale,7%,3.175
Pizza Port Beech Street ESB,CA,Extra Special Bitter,5.6%,3.175
McKenzie Belgian Pale Ale,PA,Belgian Ale,-,3.175
21st Amendment Harvest Moon,CA,IPA,6.4%,3.175
Shady Grove Sparkling Blackberry Mead,TN,Mead,12.5%,3.175
Main Street Eager Beaver IPA,OR,IPA,5.5%,3.175
Cascade Pale,OR,English Pale Ale,5%,3.175
Epic Brainless Belgian-Style Golden Ale,UT,Belgian Strong Ale,8.3%,3.175
Hales Troll Porter,WA,Porter,-,3.175
CooperSmiths Liberation Ale,CO,American Pale Ale,5%,3.175
St. George American Brown Ale,VA,Brown Ale,5.5%,3.175
Ranger Creek El Cinco Pils,TX,Bohemian / Czech Pilsener,-,3.175
Mishawaka Summer Solstice,IN,Strong Ale,8.5%,3.175
Cascade Busta Nut Brown,OR,Brown Ale,7.5%,3.175
Willoughby Hop Jam Black Rye IPA,OH,American Black Ale,6.7%,3.175
Goose Island Bitter Cold,IL,Bitter,4.2%,3.175
Rock Bottom Catcher In The Rye,CO,Rye Beer,5.3%,3.175
Silver Peak South Town Holiday Spiced Ale,NV,Spiced Beer,-,3.175
Park Tavern Fallfest,GA,Marzen / Oktoberfest,-,3.175
Becker Pumpkin Beer,NY,Spiced Beer,5%,3.175
Mooses Tooth Prince Williams Porter,AK,Porter,4.8%,3.175
HopTown Huey-DUI,CA,Imperial IPA,9.3%,3.175
21st Amendment McCoy's Serious Stout...Seriously,CA,Stout,6.5%,3.175
Ringneck Chiefs Rye Ale,OH,Rye Beer,7%,3.175
FiftyFifty Old Conundrum,CA,American Barleywine,-,3.175
Beach Chalet Fleishhacker Stout,CA,Stout,5.5%,3.175
Russian River Dead Leaf Green,CA,English Pale Ale,5.68%,3.175
Bear Republic Rebellion IPA (Amarillo),CA,IPA,6%,3.175
CooperSmiths Razzmatazz Belgian Ale,CO,Belgian Strong Ale,7.3%,3.175
Oliver Beanblossom  Strawberry Hard Cider,IN,Cider,8%,3.175
Oliver Beanblossom Peach Hard Cider,IN,Cider,8%,3.175
Aiken Powder House Porter,SC,Porter,-,3.175
Stewarts Pucker Puss,DE,Fruit Beer,6%,3.175
Amherst Lewmeister Oktoberfeset,MA,Marzen / Oktoberfest,5.4%,3.175
Karl Strauss Pintail Pale Ale,CA,American Pale Ale,5.3%,3.175
Badass American Lager,MI,Pale Lager,-,3.175
Custom Brewcrafters Oktoberfest Lager,NY,Marzen / Oktoberfest,6.2%,3.175
Swamp Head Midnight Oil Oatmeal Coffee Stout,FL,Coffee Stout,5%,3.175
Mueller IPA,MO,IPA,5%,3.175
Trinity Flo IPA,CO,IPA,6.3%,3.175
Roslyn Beer,WA,Dunkel / Dark Lager,-,3.175
Bethlehem Brew Works Kriek Lambic,PA,Fruit Lambic,6%,3.175
Full Sail Oktoberfest,OR,Marzen / Oktoberfest,5.4%,3.175
Buckeye Yuppie ESB,OH,Extra Special Bitter,4.2%,3.175
Ladyface Picture City Porter,CA,Porter,5.8%,3.175
Smoky Mountain Wog Grog,TN,IPA,-,3.175
Great Northern Snow Ghost Lager,MT,Schwarzbier,-,3.175
Caldera OBF 15,OR,Lager,5.6%,3.175
U.S. Border Devils Hopyard IPA,GA,IPA,-,3.175
Anacapa Seaward Blonde Ale,CA,Blonde Ale,5%,3.175
Allentown Hop'solutely Triple IPA,PA,Imperial IPA,11.5%,3.175
Grumpy Troll Sunflower Ale,WI,Saison,5.2%,3.175
Breckenridge F.S. 15,CO,Irish Ale,5%,3.175
Freetail Broken Promise Pale Ale,TX,American Pale Ale,5.3%,3.175
Rock Bottom Grand Cru,CO,Belgian Strong Ale,7.7%,3.175
Three Floyds Ich Bin Schwarz Genug Fur Dich?,IN,Schwarzbier,5%,3.175
Silver Peak 5 Grain Harvest Lager,NV,Lager,-,3.175
Fort George North V,OR,Strong Ale,7.5%,3.175
DuClaw Euphoria,MD,Brown Ale,4.8%,3.175
Free State Storm Cloud Stout,KS,Stout,-,3.175
Gilded Otter Bavarian Doppelbock,NY,Doppelbock,7.4%,3.175
Elevator Vics #1 Barley Wine,OH,American Barleywine,-,3.175
Triumph German Pilsner,NJ,Bohemian / Czech Pilsener,-,3.175
Chatham Amber,NY,Amber Ale,-,3.175
Alameda My Bloody Valentine,OR,Saison,5.5%,3.175
Schlafly Boathouse Ale,MO,American Pale Ale,-,3.175
Great Basin Silver State Saison,NV,Saison,6.3%,3.175
Bert Grants Glorious Golden Ale,WA,Blonde Ale,4.6%,3.175
John Harvards Dry Irish Stout,MA,Dry Stout,3.4%,3.175
Santa Barbara Punkn Saison,CA,Saison,-,3.175
McHale's Double Brown,TN,Brown Ale,6.3%,3.175
Jackie O's Cherry Wood Ya Honey,OH,Wheatwine,12%,3.175
Angry Minnow Oaky's Oatmeal Stout,WI,Oatmeal Stout,-,3.175
Great Dane Belgian Simpel,WI,Belgian Ale,-,3.175
French Broad Marzen Amber Lager,NC,Marzen / Oktoberfest,-,3.175
White Winter Traditional Brackett,WI,Mead,7%,3.175
McKenzie Old Stock Ale,PA,American Pale Ale,5.5%,3.175
Troegs Scratch 50,PA,Brown Ale,-,3.175
Columbia River Nyctophobia Black IPA,OR,American Black Ale,-,3.175
Nimbus Bourbon Barrel Old Monkeyshine,AZ,Strong Ale,8.2%,3.175
Watch City Boston Bruin Belgian Red,MA,Flanders Red,5.6%,3.175
Free State Mocha Stout,KS,Coffee Stout,-,3.175
Mogollon White Mountain Wheat,AZ,American Wheat,-,3.175
Schlafly Lindsays 80 Shilling,MO,Scottish Ale,-,3.175
Pike Pale Heirloom Amber Ale,WA,Amber Ale,5.3%,3.175
Goose Island Smoked Weizenbock,IL,Smoked Ale,-,3.175
Pizza Port Black Lie IPA,CA,American Black Ale,8.3%,3.175
John Harvards Special Reserve IPA,MA,IPA,-,3.175
Bullfrog Undead Ed,PA,IPA,-,3.175
Hill Farmstead Clara,VT,Saison,4%,3.175
McNeills Summer Brown Ale,VT,Brown Ale,-,3.175
The Bruery 0% Brett Saison de Lente,CA,Saison,6.5%,3.175
Alcatraz Dopplebock,CA,Doppelbock,8%,3.175
Wild Blossom Nau-t-gal / Nau-t-guy,IL,Mead,16%,3.175
Stewarts Misters Bock,DE,Bock,7.3%,3.175
Kenai River Skilak Scottish,AK,Scottish Ale,-,3.175
Bricktown English Ale,OK,English Pale Ale,-,3.175
Drake's George Brett Triple,CA,Abbey Tripel,8.75%,3.175
Kelso Saison,NY,Saison,5%,3.175
Widmer Brothers Deadlift Imperial IPA,OR,Imperial IPA,8.6%,3.175
5 Seasons InaugurAle,GA,California Common / Steam,5%,3.175
Pearl Street Smokin Hemp Porter,WI,Porter,-,3.175
Gritty McDuffs Christmas Ale,ME,Extra Special Bitter,-,3.175
Kirkland Signature Hefeweizen,WA,Hefeweizen,5.5%,3.175
Allagash Big Little Beer,ME,Belgian Ale,5%,3.175
Saint Arnold Bitter Belgian,TX,IPA,-,3.175
Drake's Sir Francis Dres IPA (aka BWA),CA,IPA,8%,3.175
Rocky River Winterfest Ale,TN,Abbey Dubbel,-,3.175
Heavyweight Uncle Bobs Bog Weiss,NJ,Hefeweizen,7%,3.175
Mogollon Heffevenom,AZ,Hefeweizen,-,3.175
McGuires Belgian Strong Ale,FL,Belgian Strong Ale,6.8%,3.175
Three Floyds The Creeper,IN,Doppelbock,9%,3.175
Cigar City Tropic-ale,FL,IPA,7.5%,3.175
JW Dundees Scotch Porter,NY,Scottish Ale,6.5%,3.175
Midnight Sun Obliteration VI Double IPA,AK,Imperial IPA,8.2%,3.175
Square One Hop Harvest IPA,MO,IPA,-,3.175
McKenzie Independence Ale,PA,IPA,-,3.175
Grand Teton Coming Home  Holiday Ale 2011,ID,Abbey Tripel,9%,3.175
Marin E.S. Chi Herbal Infused Ale,CA,Spiced Beer,5.3%,3.175
Karbach Black IPA,TX,American Black Ale,-,3.175
J.T. Whitneys Irish Ale,WI,Irish Ale,-,3.175
Shorts Peaches & Creme,MI,Fruit Beer,9.5%,3.175
Sly Fox Winter Lager,PA,Bohemian / Czech Pilsener,4.8%,3.175
Rock Bottom American Dream IPA,CO,IPA,6%,3.175
Humperdinks Vapor,TX,California Common / Steam,-,3.175
Hill Farmstead Genealogy,VT,Imperial Stout,9.5%,3.175
Bee Creek Hoosier Honey Wheat,IN,American Wheat,7%,3.175
Aviator Devils Tramping Ground Tripel,NC,Abbey Tripel,9.2%,3.175
Pike Bootleg Brown,WA,Brown Ale,-,3.175
