Beer,Origin,Style,ABV,Ratings
Sierra Nevada 30th Anniversary Our Brewers Reserve - Grand Cru,CA,Strong Ale,9.2%,3.892
Anchor Our Special Ale 2004,CA,Spiced Beer,5.5%,3.891
North Coast Old Stock Cellar Reserve Bourbon Barrel,CA,English Barleywine,14.6%,3.891
Deschutes Obsidian Stout,OR,Stout,6.7%,3.890
North Coast Old Stock Cellar Reserve Brandy Barrel,CA,English Barleywine,14.7%,3.890
Drake's Barley Wine Brandy Barrel,CA,English Barleywine,14.7%,3.890
Founders Canadian Breakfast Stout,MI,Imperial Stout,9.4%,3.889
Bear Republic Racer X,CA,Imperial IPA,9%,3.887
Oskar Blues G'Knight,CO,Strong Ale,8.7%,3.886
Full Sail Top Sail Imperial Porter,OR,Imperial Porter,7.5%,3.886
Flying Dog Wild Dog Double Pale Ale,MD,Strong Ale,11.5%,3.885
Southern Tier Imperial Crème Brûlée Stout,NY,Imperial Stout,10%,3.885
Full Sail Bourbon Barrel Aged Black Gold Imperial Stout,OR,Imperial Stout,10.5%,3.884
Russian River Beatification (Batch 002),CA,Wild Ale,6%,3.882
Sierra Nevada Harvest Fresh Hop Ale,CA,IPA,6.7%,3.880
Southampton Abbot 12,NY,Abbey Quadrupel,10%,3.880
Flying Dog Gonzo Imperial Porter,MD,Imperial Porter,9.5%,3.878
Great Divide Fresh Hop Pale Ale,CO,American Pale Ale,6.1%,3.877
Terrapin Wake-n-Bake Coffee Oatmeal Imperial Stout,GA,Imperial Stout,8.1%,3.877
Southampton Imperial Russian Stout,NY,Imperial Stout,9.5%,3.877
Midnight Sun La Mâitresse du Moine,AK,Belgian Strong Ale,9%,3.876
Schlafly Reserve Bourbon Barrel-Aged Imperial Stout,MO,Imperial Stout,10.5%,3.876
Lagunitas Little Sumpin Sumpin Ale,CA,IPA,7.3%,3.875
Deschutes Mirror Mirror Barleywine,OR,American Barleywine,11%,3.875
Lost Abbey The Angels Share (Bourbon Barrel),CA,English Barleywine,12.5%,3.873
Firestone Walker Wookey Jack Black IPA,CA,American Black Ale,8.2%,3.872
Old Dominion Oak Barrel Stout,DE,Stout,5.2%,3.871
Firestone Walker 16,CA,Strong Ale,13%,3.871
Lost Abbey Isabelle Proximus,CA,Wild Ale,7%,3.870
Stone Smoked Porter,CA,Smoked Ale,5.9%,3.869
New Belgium Abbey Grand Cru,CO,Abbey Dubbel,9.4%,3.868
Rogue Imperial Stout,OR,Imperial Stout,10.5%,3.867
Great Lakes Barrel Aged Blackout Stout,OH,Imperial Stout,9%,3.865
Green Flash Double Stout,CA,Imperial Stout,8.8%,3.862
Oggi's Witch Doctor,CA,Imperial Stout,9.2%,3.860
Marin Eldridge Grade White Knuckle Double IPA,CA,Imperial IPA,8%,3.858
Anderson Valley Barney Flats Oatmeal Stout,CA,Oatmeal Stout,5.7%,3.857
Stone Sawyer's Triple,CA,Abbey Tripel,7.6%,3.857
Uinta Crooked Line Sea Legs Baltic Porter,UT,Baltic Porter,8%,3.856
Terrapin Big Hoppy Monster,GA,Imperial IPA,8.3%,3.854
Jolly Pumpkin Oro de Calabaza,MI,Biere de Garde,8%,3.853
Allagash Curieux,ME,Belgian Strong Ale,9.8%,3.853
Pizza Port Mo Betta Bretta,CA,Belgian Ale,6.3%,3.853
Stone 06.06.06 Vertical Epic Ale,CA,Abbey Dubbel,8.66%,3.852
Heavyweight Perkunos Hammer,NJ,Baltic Porter,8.3%,3.852
Ale Asylum Mercy Belgian Grand Cru,WI,Belgian Strong Ale,9.5%,3.850
AleSmith The Shit Speedway Stout,CA,Imperial Stout,12%,3.850
Avery Uncle Jacobs Stout,CO,Imperial Stout,17.42%,3.850
North Coast Old Rasputin XV,CA,Imperial Stout,11.9%,3.850
Prairie Artisan Ales Bomb!,OK,Imperial Stout,14%,3.850
Bells Special Double Cream Stout,MI,Stout,6.1%,3.848
Pizza Port SPF 8 Farmhouse Ale,CA,Saison,8.75%,3.846
